Pais,Anho,Npatente,max,media,dif
CA,1993,5185488,1,1.0,0.0
CA,1994,5309564,1,1.0,0.0
CA,1994,5362264,1,1.0,0.0
CA,1995,5422917,1,1.0,0.0
CA,1995,5403217,1,1.0,0.0
CA,1995,5433308,1,1.0,0.0
CA,1995,5395417,1,1.0,0.0
CA,1996,5584317,1,1.0,0.0
CA,1996,5552502,1,1.0,0.0
CA,1996,5481916,1,1.0,0.0
CA,1996,5555999,1,1.0,0.0
CA,1998,5752472,1,1.0,0.0
CH,1963,3071918,1,1.0,0.0
CH,1963,3114434,1,1.0,0.0
CH,1964,3151258,1,1.0,0.0
CH,1965,3167645,1,1.0,0.0
CH,1965,3203920,1,1.0,0.0
CH,1965,3174978,1,1.0,0.0
CH,1965,3191375,1,1.0,0.0
CH,1966,3237251,1,1.0,0.0
CH,1967,3318932,1,1.0,0.0
CH,1967,3325016,1,1.0,0.0
CH,1967,3310416,1,1.0,0.0
CH,1967,3333819,1,1.0,0.0
CH,1968,3391973,1,1.0,0.0
CH,1969,3422582,1,1.0,0.0
CH,1969,3430769,1,1.0,0.0
CH,1969,3453587,1,1.0,0.0
CH,1969,3467099,1,1.0,0.0
CH,1970,3530663,1,1.0,0.0
CH,1971,3608823,1,1.0,0.0
CH,1971,3584193,1,1.0,0.0
CH,1971,3625918,1,1.0,0.0
CH,1971,3579803,1,1.0,0.0
CH,1972,3666652,1,1.0,0.0
CH,1972,3641194,1,1.0,0.0
CH,1972,3642522,1,1.0,0.0
CH,1973,3773431,1,1.0,0.0
CH,1973,3765144,1,1.0,0.0
CH,1974,3802044,1,1.0,0.0
CH,1974,3784525,1,1.0,0.0
CH,1974,3796968,1,1.0,0.0
CH,1975,3920180,1,1.0,0.0
CH,1975,3899185,1,1.0,0.0
CH,1975,3861080,1,1.0,0.0
CH,1975,3885600,1,1.0,0.0
CH,1975,3862553,1,1.0,0.0
CH,1976,3961627,1,1.0,0.0
CH,1977,4038251,1,1.0,0.0
CH,1977,4045194,1,1.0,0.0
CH,1977,4040779,1,1.0,0.0
CH,1977,4024123,1,1.0,0.0
CH,1978,4097229,1,1.0,0.0
CH,1978,4081766,1,1.0,0.0
CH,1979,4169426,1,1.0,0.0
CH,1980,4227265,1,1.0,0.0
CH,1980,4203980,1,1.0,0.0
CH,1981,4285412,1,1.0,0.0
CH,1981,4247672,1,1.0,0.0
CH,1981,4263584,1,1.0,0.0
CH,1982,4364472,1,1.0,0.0
CH,1982,4334146,1,1.0,0.0
CH,1983,4390237,1,1.0,0.0
CH,1984,4425157,1,1.0,0.0
CH,1984,4457665,1,1.0,0.0
CH,1984,4425027,1,1.0,0.0
CH,1985,4491225,1,1.0,0.0
CH,1986,4585618,1,1.0,0.0
CH,1986,4600361,1,1.0,0.0
CH,1987,4685444,1,1.0,0.0
CH,1987,4655771,1,1.0,0.0
CH,1987,4698359,1,1.0,0.0
CH,1988,4778898,1,1.0,0.0
CH,1988,4737150,1,1.0,0.0
CH,1988,4756848,1,1.0,0.0
CH,1988,4757668,1,1.0,0.0
CH,1989,4856319,1,1.0,0.0
CH,1989,4794864,1,1.0,0.0
CH,1989,4802294,1,1.0,0.0
CH,1989,4801739,1,1.0,0.0
CH,1989,4815361,1,1.0,0.0
CH,1989,4802371,1,1.0,0.0
CH,1990,4896999,1,1.0,0.0
CH,1990,4930304,1,1.0,0.0
CH,1991,5059776,1,1.0,0.0
CH,1991,5056486,1,1.0,0.0
CH,1992,5108409,1,1.0,0.0
CH,1992,5113100,1,1.0,0.0
CH,1992,5145991,1,1.0,0.0
CH,1992,5135166,1,1.0,0.0
CH,1994,5322735,1,1.0,0.0
CH,1994,5288799,1,1.0,0.0
CH,1994,5306853,1,1.0,0.0
CH,1995,5470582,1,1.0,0.0
CH,1995,5412301,1,1.0,0.0
CH,1995,5435184,1,1.0,0.0
CO,1972,3684070,1,1.0,0.0
CS,1969,3439488,1,1.0,0.0
CS,1969,3486616,1,1.0,0.0
CS,1973,3754584,1,1.0,0.0
DE,1963,3099485,1,1.0,0.0
DE,1963,3087210,1,1.0,0.0
DE,1964,3141631,1,1.0,0.0
DE,1964,3160900,1,1.0,0.0
DE,1964,3124798,1,1.0,0.0
DE,1964,3117953,1,1.0,0.0
DE,1965,3183681,1,1.0,0.0
DE,1966,3259642,1,1.0,0.0
DE,1966,3292414,1,1.0,0.0
DE,1966,3262168,1,1.0,0.0
DE,1967,3343880,1,1.0,0.0
DE,1967,3342118,1,1.0,0.0
DE,1967,3304819,1,1.0,0.0
DE,1968,3361848,1,1.0,0.0
DE,1968,3394172,1,1.0,0.0
DE,1968,3361782,1,1.0,0.0
DE,1968,3403531,1,1.0,0.0
DE,1968,3361632,1,1.0,0.0
DE,1968,3380312,1,1.0,0.0
DE,1969,3464757,1,1.0,0.0
DE,1969,3420703,1,1.0,0.0
DE,1969,3428032,1,1.0,0.0
DE,1969,3447861,1,1.0,0.0
DE,1969,3429909,1,1.0,0.0
DE,1969,3430012,1,1.0,0.0
DE,1969,3438940,1,1.0,0.0
DE,1969,3457112,1,1.0,0.0
DE,1969,3472047,1,1.0,0.0
DE,1969,3458219,1,1.0,0.0
DE,1970,3522044,1,1.0,0.0
DE,1970,3490098,1,1.0,0.0
